mass, year, reclat, reclong
1300, 1949, 45.766670, 3.250000
22700, 1852, 46.500000, 25.733330
350, 1827, 25.900000, 83.616670
1100, 1980, 34.800000, 111.700000
1600, 1881, 54.566670, -1.166670
3584, 2010, 42.907500, -90.365560
8000, 1889, 48.066670, 30.966670
6380, 1992, 35.568330, 133.220000
224.2, 1944, 46.233330, 17.533330
10000, 1842, 46.183330, 16.100000
330000, 1960, -26.450000, 120.366670
16700, 1930, 35.400000, -92.050000
1040, 1632, 35.078330, 136.933330
42, 1826, 37.283330, 14.700000
5500, 1952, 32.333330, 120.666670
550, 1905, 47.700000, 16.600000
8510, 1910, 25.683330, 83.250000
5800, 1890, 56.666670, 23.000000
100.7, 1898, 61.733330, 5.933330
300000, 1882, 46.800000, 24.033330
35000, 1905, 38.500000, -101.100000
4500, 1908, -39.633330, 174.400000
144000, 1858, 38.116670, -1.166670
150, 1953, -31.250000, 26.466670
2587, 1998, 31.608330, -102.858330
8600, 1849, 35.250000, -80.500000
4885, 1950, 38.016670, -8.250000
3130, 1846, 43.266670, 13.350000
149000, 1923, 43.390560, 1.962500
500, 1838, 47.633330, 1.583330
, 1950, -15.966670, 27.350000
1880, 1913, 35.416670, -79.383330
3520, 1810, 52.450000, -8.333330
8887.5, 1930, -40.975000, 145.600000
70, 1808, 28.783330, 78.833330
633, 2000, 49.600000, 18.533330
1300, 1875, 44.600000, 5.133330
3763, 2006, 59.433330, 10.700000
1500, 1868, 26.833330, 77.333330
9150, 1868, 45.200000, 8.500000
11300, 1902, -29.800000, 141.700000
110000, 1991, 18.700000, 4.800000
17000, 1637, 44.083330, 6.866670
1100, 1944, -11.500000, 33.500000
4400, 1865, 12.633330, 77.016670
25.5, 1795, 9.333330, 80.833330
4703, 1924, 24.500000, 90.216670
100000, 1969, -36.616670, 145.200000
12600, 1950, 36.600000, -88.100000
1245, 1964, 26.133330, 85.533330
, 1842, 23.050000, 72.633330
8165, 1956, 12.000000, 1.000000
1810, 1922, 38.121670, 140.061670
20, 1875, 26.983330, 78.216670
6100, 1895, 49.166670, 19.500000
10000, 1911, 31.316670, 30.350000
23200, 1923, 13.733330, 100.083330
4500, 1886, 12.283330, 79.200000
52900, 1917, 35.666670, 103.500000
7500, 1825, 38.416670, -77.166670
529, 1984, 32.116670, 121.800000
17000, 1928, 19.250000, 77.000000
2700, 1974, 33.750000, 51.500000
367.5, 1928, -34.050000, 150.688890
, 920, 42.516670, 12.516670
347, 1936, -21.733330, 165.900000
1.4, 1973, , 
105, 1890, 21.250000, 83.666670
420, 1995, 36.449170, 136.465280
4500, 1870, 18.683330, 83.483330
2450, 1970, 9.500000, 35.333330
10250, 1864, 56.500000, 21.500000
6189, 2002, 47.525000, 10.808330
230000, 1860, 40.000000, -81.766670
12000, 1994, 15.366670, 35.683330
19256, 2003, 29.947180, -90.109760
1393, 1883, -7.450000, 111.416670
37500, 1900, 13.850000, -4.383330
, 1750, 49.033330, -1.433330
3.3, 1967, , 
3.3, 1967, , 
3996, 1935, 52.450000, 78.633330
6000, 1954, 56.116670, 37.333330
14250, 1975, 29.866670, 121.483330
4610, 1983, 32.925000, 105.906670
467, 1897, 34.200000, 131.566670
17200, 1912, -28.566670, 30.700000
2300, 1823, 44.083330, -69.483330
483.7, 1991, 40.085280, -86.055000
472, 860, 33.725000, 130.750000
4000, 1879, -32.366670, -59.833330
1050, 1918, 36.216670, -92.266670
1100000, 1948, 39.683330, -99.866670
177, 1971, 45.291670, 11.527220
1900, 1886, 54.816670, 46.000000
, 1662, 58.550000, 31.333330
1001, 1908, 56.000000, 22.000000
250, 1933, 42.916670, 102.466670
50000, 1978, 24.300000, -102.133330
5000, 1851, 41.633330, 0.750000
363, 1925, 43.333330, 141.866670
737.6, 1939, 21.208330, 94.916670
1100, 1914, 47.550000, 22.025000
500000, 1887, 57.783330, 55.266670
1400, 1927, 52.283330, 8.050000
6000, 1855, 58.500000, 23.000000
3750, 1900, 47.883330, 22.033330
14360, 1741, 33.283330, 130.200000
16250, 1857, 46.066670, 23.583330
7700, 1963, 6.750000, 8.500000
5850, 1926, 38.183330, -5.400000
194, 1958, 36.183330, 139.216670
4742, 1904, 35.083330, 135.200000
12000, 1834, 50.833330, 25.500000
16570, 1930, 52.950000, 8.166670
, 1519, 39.000000, -0.033330
150000, 1924, 38.716670, -7.066670
40000, 1929, 39.566670, -2.100000
250000, 1981, 64.020000, 161.808330
14000, 1864, 43.883330, 1.383330
180, 2004, 28.547500, -81.362220
6000, 1868, 47.116670, 6.150000
4500, 1671, 48.500000, 8.000000
3400, 1872, 42.133330, 12.933330
246, 1928, 58.883330, 9.400000
6510, 1867, 38.400000, 140.350000
840, 1896, 38.600000, -95.216670
4440, 2003, 12.900000, 0.080000
1215.5, 1986, 30.180000, -6.577170
17000, 2003, 24.300000, -13.100000
