year,GeoLocation
1852,"(46.500000, 25.733330)"
1827,"(25.900000, 83.616670)"
1980,"(34.800000, 111.700000)"
1881,"(54.566670, -1.166670)"
2010,"(42.907500, -90.365560)"
1889,"(48.066670, 30.966670)"
1992,"(35.568330, 133.220000)"
1944,"(46.233330, 17.533330)"
1842,"(46.183330, 16.100000)"
1960,"(-26.450000, 120.366670)"
1930,"(35.400000, -92.050000)"
1632,"(35.078330, 136.933330)"
1826,"(37.283330, 14.700000)"
1952,"(32.333330, 120.666670)"
1905,"(47.700000, 16.600000)"
1910,"(25.683330, 83.250000)"
1890,"(56.666670, 23.000000)"
1898,"(61.733330, 5.933330)"
1882,"(46.800000, 24.033330)"
1905,"(38.500000, -101.100000)"
1908,"(-39.633330, 174.400000)"
1858,"(38.116670, -1.166670)"
1953,"(-31.250000, 26.466670)"
1998,"(31.608330, -102.858330)"
1849,"(35.250000, -80.500000)"
1950,"(38.016670, -8.250000)"
1846,"(43.266670, 13.350000)"
1923,"(43.390560, 1.962500)"
1838,"(47.633330, 1.583330)"
1950,"(-15.966670, 27.350000)"
1913,"(35.416670, -79.383330)"
1810,"(52.450000, -8.333330)"
1930,"(-40.975000, 145.600000)"
1808,"(28.783330, 78.833330)"
2000,"(49.600000, 18.533330)"
1875,"(44.600000, 5.133330)"
2006,"(59.433330, 10.700000)"
1868,"(26.833330, 77.333330)"
1868,"(45.200000, 8.500000)"
1902,"(-29.800000, 141.700000)"
1991,"(18.700000, 4.800000)"
1637,"(44.083330, 6.866670)"
1944,"(-11.500000, 33.500000)"
1865,"(12.633330, 77.016670)"
1795,"(9.333330, 80.833330)"
1924,"(24.500000, 90.216670)"
1969,"(-36.616670, 145.200000)"
1950,"(36.600000, -88.100000)"
Fell,85.533330,"(26.133330
1842,"(23.050000, 72.633330)"
1956,"(12.000000, 1.000000)"
1922,"(38.121670, 140.061670)"
1875,"(26.983330, 78.216670)"
1895,"(49.166670, 19.500000)"
1911,"(31.316670, 30.350000)"
1923,"(13.733330, 100.083330)"
1886,"(12.283330, 79.200000)"
1917,"(35.666670, 103.500000)"
1825,"(38.416670, -77.166670)"
1984,"(32.116670, 121.800000)"
1928,"(19.250000, 77.000000)"
1974,"(33.750000, 51.500000)"
1928,"(-34.050000, 150.688890)"
920,"(42.516670, 12.516670)"
1936,"(-21.733330, 165.900000)"
1973,
1890,"(21.250000, 83.666670)"
1995,"(36.449170, 136.465280)"
Fell,83.483330,"(18.683330
1970,"(9.500000, 35.333330)"
1864,"(56.500000, 21.500000)"
2002,"(47.525000, 10.808330)"
1860,"(40.000000, -81.766670)"
1994,"(15.366670, 35.683330)"
2003,"(29.947180, -90.109760)"
1883,"(-7.450000, 111.416670)"
Fell,-4.383330,"(13.850000
1750,"(49.033330, -1.433330)"
1967,
1967,
1935,"(52.450000, 78.633330)"
1954,"(56.116670, 37.333330)"
Fell,121.483330,"(29.866670
1983,"(32.925000, 105.906670)"
1897,"(34.200000, 131.566670)"
Fell,30.700000,"(-28.566670
1823,"(44.083330, -69.483330)"
1991,"(40.085280, -86.055000)"
860,"(33.725000, 130.750000)"
1879,"(-32.366670, -59.833330)"
Fell,-92.266670,"(36.216670
1948,"(39.683330, -99.866670)"
1971,"(45.291670, 11.527220)"
1886,"(54.816670, 46.000000)"
1662,"(58.550000, 31.333330)"
1908,"(56.000000, 22.000000)"
1933,"(42.916670, 102.466670)"
1978,"(24.300000, -102.133330)"
1851,"(41.633330, 0.750000)"
1925,"(43.333330, 141.866670)"
Fell,94.916670,"(21.208330
1914,"(47.550000, 22.025000)"
1887,"(57.783330, 55.266670)"
1927,"(52.283330, 8.050000)"
1855,"(58.500000, 23.000000)"
1900,"(47.883330, 22.033330)"
1741,"(33.283330, 130.200000)"
1857,"(46.066670, 23.583330)"
1963,"(6.750000, 8.500000)"
1926,"(38.183330, -5.400000)"
1958,"(36.183330, 139.216670)"
Fell,135.200000,"(35.083330
1834,"(50.833330, 25.500000)"
1930,"(52.950000, 8.166670)"
1519,"(39.000000, -0.033330)"
1924,"(38.716670, -7.066670)"
1929,"(39.566670, -2.100000)"
Fell,161.808330,"(64.020000
1864,"(43.883330, 1.383330)"
2004,"(28.547500, -81.362220)"
1868,"(47.116670, 6.150000)"
1671,"(48.500000, 8.000000)"
1872,"(42.133330, 12.933330)"
1928,"(58.883330, 9.400000)"
1867,"(38.400000, 140.350000)"
1896,"(38.600000, -95.216670)"
2003,"(12.900000, 0.080000)"
1986,"(30.180000, -6.577170)"
2003,"(24.300000, -13.100000)"
1998,"(37.608330, -8.280000)"
1900,"(-18.000000, 16.000000)"
1856,"(43.400000, -5.866670)"
1775,"(51.333330, 28.833330)"
1881,"(21.050000, -99.300000)"
1929,"(55.666670, 25.000000)"
1910,"(17.743330, 120.455830)"
1910,"(32.316670, -89.716670)"
1988,"(-23.116670, -65.100000)"
1914,"(43.483330, 118.616670)"
1926,"(39.800000, -91.500000)"
1949,"(21.300000, -157.783330)"
1859,"(15.083330, 120.700000)"
1938,"(8.066670, 124.283330)"
1930,"(36.066670, -90.500000)"
1967,"(-6.233330, -40.700000)"
1956,"(-19.133330, -51.666670)"
2003,"(41.484720, -87.679170)"
1857,"(9.233330, 78.350000)"
1942,"(26.200000, 85.400000)"
1933,"(36.216670, -103.400000)"
1969,"(20.936940, 82.050000)"
1950,"(-19.533330, -48.566670)"
1922,"(38.133330, 14.966670)"
1935,"(23.150000, 91.183330)"
1966,"(43.466670, 25.516670)"
1938,"(52.300000, 77.033330)"
1826,"(48.533330, 35.983330)"
1882,"(52.033330, 43.000000)"
1989,"(11.333670, -3.542170)"
1963,"(56.133330, -117.933330)"
1953,"(51.666670, 9.250000)"
1992,"(41.283330, -73.916670)"
1946,"(30.125000, -103.116670)"
1899,"(-10.666670, 35.500000)"
